@relation wekaTrainingYear3Only

@attribute ﻿y3Date numeric
@attribute y3MinTemp numeric
@attribute y3MaxTemp numeric
@attribute y3MinDew numeric
@attribute y3MaxDew numeric

@data
19671124,28,44,20,35
19671125,37,55,28,42
19671126,28,64,24,42
19671127,36,55,9,37
19671128,25,39,5,16
19671129,21,41,7,19
19671130,28,34,19,28
19671201,15,32,9,23
19671202,9,34,4,30
19671203,33,45,26,41
19671204,28,46,19,27
19671205,32,51,19,26
19671206,33,42,25,34
19671207,36,46,33,44
19671208,36,57,31,49
19671209,30,51,27,41
19671210,36,44,31,37
19671211,39,44,36,42
19671212,43,55,37,50
19671213,36,61,31,43
19671214,42,57,18,46
19671215,30,42,14,20
19671216,28,42,14,19
19671217,26,50,17,24
19671218,36,46,26,44
19671219,44,61,33,49
19671220,34,54,26,32
19671221,33,52,25,41
19671222,39,62,27,57
19671223,25,34,11,28
19671224,19,36,10,17
19671225,23,39,17,32
19671226,27,39,13,33
19671227,23,35,14,18
19671228,28,37,20,34
19671229,27,39,14,32
19671230,21,33,12,17
19671231,23,34,16,30
