y1Date,y1MinTemp,y1MaxTemp,y1MinDew,y1MaxDew,,,y2Date,y2MinTemp,y2MaxTemp,y2MinDew,y2MaxDew,,,y3Date,y3MinTemp,y3MaxTemp,y3MinDew,y3MaxDew
19650413,45,59,22,38,,,19660413,37,41,35,39,,,19670413,34,54,22,34
19650414,41,59,21,31,,,19660414,37,54,24,38,,,19670414,46,78,32,54
19650415,43,51,29,45,,,19660415,34,59,18,30,,,19670415,57,84,44,61
19650416,44,60,23,47,,,19660416,43,63,22,32,,,19670416,50,80,39,52
19650417,30,64,23,37,,,19660417,37,66,19,36,,,19670417,44,51,39,49
19650418,46,60,30,41,,,19660418,44,60,32,44,,,19670418,48,64,35,54
19650419,42,46,36,42,,,19660419,46,64,38,44,,,19670419,46,54,32,35
19650420,42,57,33,44,,,19660420,46,66,42,52,,,19670420,37,68,29,38
19650421,37,70,37,50,,,19660421,48,78,46,57,,,19670421,46,68,36,53
19650422,48,75,42,53,,,19660422,53,62,49,59,,,19670422,60,82,28,62
19650423,48,66,44,55,,,19660423,53,60,50,54,,,19670423,46,66,25,35
19650424,41,54,31,44,,,19660424,54,78,52,63,,,19670424,42,54,24,49
19650425,39,43,37,42,,,19660425,57,72,34,61,,,19670425,37,55,19,23
19650426,42,69,42,60,,,19660426,46,69,29,38,,,19670426,35,55,23,46
19650427,50,61,41,54,,,19660427,39,55,31,45,,,19670427,39,50,28,42
19650428,48,55,40,48,,,19660428,39,43,37,39,,,19670428,43,60,20,25
19650429,48,68,14,44,,,19660429,41,50,39,44,,,19670429,41,64,19,31
19650430,46,80,26,46,,,19660430,46,53,44,51,,,19670430,48,71,31,38
19650501,53,68,36,47,,,19660501,53,69,50,61,,,19670501,46,78,35,52
19650502,48,82,46,56,,,19660502,45,54,33,48,,,19670502,57,84,49,61
19650503,52,89,48,58,,,19660503,36,69,33,47,,,19670503,46,64,28,50
19650504,60,88,45,53,,,19660504,43,60,23,32,,,19670504,37,63,28,41
19650505,54,68,50,57,,,19660505,35,73,28,41,,,19670505,44,72,38,50
19650506,52,73,49,59,,,19660506,60,88,28,50,,,19670506,44,59,39,52
19650507,50,59,48,56,,,19660507,48,70,28,46,,,19670507,44,50,40,47
19650508,48,57,48,54,,,19660508,54,77,42,56,,,19670508,42,63,34,48
19650509,54,77,53,64,,,19660509,39,60,28,50,,,19670509,43,60,34,44
19650510,55,86,56,65,,,19660510,33,57,17,26,,,19670510,45,63,31,38
19650511,64,82,44,64,,,19660511,34,61,21,38,,,19670511,43,73,33,59
19650512,57,73,42,57,,,19660512,51,72,30,54,,,19670512,51,64,37,47
19650513,51,80,24,53,,,19660513,59,75,39,58,,,19670513,42,55,29,41
19650514,46,70,24,41,,,19660514,48,61,38,45,,,19670514,48,55,42,51
19650515,48,78,42,55,,,19660515,44,75,40,48,,,19670515,54,75,47,67
19650516,53,89,50,65,,,19660516,45,71,38,47,,,19670516,42,64,31,45
19650517,64,84,51,66,,,19660517,51,73,40,55,,,19670517,37,66,29,45
19650518,57,77,47,53,,,19660518,57,77,54,63,,,19670518,43,75,39,53
19650519,52,84,50,59,,,19660519,64,82,48,67,,,19670519,53,81,46,60
19650520,62,75,52,61,,,19660520,61,82,48,53,,,19670520,57,75,37,60
19650521,55,70,47,56,,,19660521,60,82,53,62,,,19670521,48,61,32,45
19650522,55,84,54,64,,,19660522,59,75,43,60,,,19670522,46,57,44,53
19650523,62,82,62,66,,,19660523,50,77,43,54,,,19670523,48,64,41,48
19650524,57,70,50,65,,,19660524,50,75,43,57,,,19670524,46,64,29,41
19650525,57,82,55,67,,,19660525,63,73,57,63,,,19670525,43,70,31,42
19650526,63,91,62,66,,,19660526,64,79,60,65,,,19670526,43,72,36,44
19650527,66,93,65,70,,,19660527,64,71,60,66,,,19670527,48,79,36,48
19650528,64,82,53,67,,,19660528,63,78,57,67,,,19670528,62,79,49,56
19650529,54,70,38,61,,,19660529,62,75,36,63,,,19670529,54,63,50,57
19650530,42,66,37,47,,,19660530,55,69,37,46,,,19670530,51,69,39,53
19650531,55,75,44,58,,,19660531,51,64,43,50,,,19670531,53,68,35,48
19650601,59,84,56,62,,,19660601,43,63,34,48,,,19670601,44,72,39,51
19650602,64,87,60,66,,,19660602,48,69,36,42,,,19670602,48,79,43,54
19650603,55,68,45,66,,,19660603,48,79,40,54,,,19670603,50,82,40,51
19650604,46,71,40,49,,,19660604,54,87,49,57,,,19670604,51,80,47,61
19650605,46,75,45,54,,,19660605,62,89,55,64,,,19670605,54,82,50,61
19650606,52,82,51,66,,,19660606,64,88,56,63,,,19670606,54,81,49,61
19650607,60,87,60,69,,,19660607,66,81,58,65,,,19670607,53,84,49,61
19650608,66,87,64,71,,,19660608,62,86,58,66,,,19670608,57,82,49,62
19650609,70,80,68,72,,,19660609,64,86,63,71,,,19670609,57,88,52,63
19650610,68,87,63,71,,,19660610,63,82,44,70,,,19670610,61,90,53,64
19650611,63,82,54,67,,,19660611,52,75,38,50,,,19670611,62,91,56,65
19650612,64,80,54,68,,,19660612,54,71,42,51,,,19670612,57,91,55,65
19650613,59,75,40,69,,,19660613,62,81,44,64,,,19670613,64,93,59,69
19650614,48,73,45,54,,,19660614,61,87,56,67,,,19670614,63,75,58,62
19650615,52,64,52,57,,,19660615,63,86,48,63,,,19670615,66,87,61,67
19650616,52,55,49,53,,,19660616,57,88,51,64,,,19670616,68,93,64,71
19650617,54,60,46,58,,,19660617,61,77,58,63,,,19670617,68,90,64,71
19650618,48,69,48,56,,,19660618,59,79,51,60,,,19670618,70,82,64,73
19650619,52,82,51,63,,,19660619,62,75,54,63,,,19670619,64,75,58,69
19650620,57,87,52,60,,,19660620,53,86,52,61,,,19670620,61,84,48,57
19650621,60,90,57,64,,,19660621,63,89,53,63,,,19670621,59,91,53,68
19650622,69,93,64,69,,,19660622,64,81,51,60,,,19670622,70,84,64,71
19650623,69,93,66,72,,,19660623,55,91,54,64,,,19670623,69,88,67,73
19650624,69,79,63,72,,,19660624,68,96,57,65,,,19670624,72,91,65,70
19650625,62,79,48,65,,,19660625,70,97,57,64,,,19670625,71,89,52,72
19650626,55,80,47,58,,,19660626,69,84,63,67,,,19670626,59,80,47,55
19650627,54,80,47,60,,,19660627,72,96,65,69,,,19670627,57,82,46,58
19650628,62,93,60,71,,,19660628,71,95,64,69,,,19670628,57,81,49,59
19650629,71,95,67,74,,,19660629,70,91,60,70,,,19670629,57,75,50,61
19650630,71,82,63,71,,,19660630,69,91,56,64,,,19670630,66,75,61,68
19650701,62,84,43,62,,,19660701,68,91,59,67,,,19670701,66,86,64,70
19650702,55,84,47,59,,,19660702,68,99,55,69,,,19670702,64,86,62,71
19650703,68,84,55,70,,,19660703,71,100,63,69,,,19670703,69,84,56,72
19650704,64,90,59,68,,,19660704,73,98,63,66,,,19670704,57,78,53,60
19650705,71,88,69,75,,,19660705,72,87,63,68,,,19670705,55,77,51,57
19650706,66,87,56,70,,,19660706,69,91,63,71,,,19670706,62,78,54,61
19650707,64,84,61,71,,,19660707,71,93,59,69,,,19670707,64,80,56,64
19650708,71,91,64,73,,,19660708,68,90,53,61,,,19670708,66,77,58,70
19650709,71,95,69,76,,,19660709,64,88,49,57,,,19670709,70,87,69,73
19650710,72,89,70,76,,,19660710,69,93,57,64,,,19670710,70,91,68,74
19650711,66,75,66,74,,,19660711,72,97,58,67,,,19670711,73,86,68,72
19650712,64,79,58,67,,,19660712,69,95,63,69,,,19670712,71,91,66,70
19650713,69,82,68,75,,,19660713,72,97,64,68,,,19670713,72,84,62,69
19650714,70,93,69,74,,,19660714,75,95,56,67,,,19670714,64,80,60,69
19650715,73,84,67,74,,,19660715,66,81,53,63,,,19670715,66,78,58,70
19650716,70,86,64,72,,,19660716,62,82,47,60,,,19670716,61,82,55,63
19650717,69,91,62,75,,,19660717,62,84,48,66,,,19670717,63,82,58,65
19650718,69,91,66,73,,,19660718,63,95,54,67,,,19670718,66,82,62,68
19650719,66,87,56,68,,,19660719,69,95,62,67,,,19670719,64,84,57,70
19650720,63,78,47,56,,,19660720,71,82,40,65,,,19670720,66,84,61,69
19650721,55,80,50,57,,,19660721,55,84,36,46,,,19670721,63,81,60,68
19650722,57,82,54,64,,,19660722,53,88,46,56,,,19670722,63,84,59,66
19650723,66,84,61,74,,,19660723,62,84,49,56,,,19670723,66,90,63,70
19650724,73,95,72,78,,,19660724,62,84,48,62,,,19670724,70,91,65,72
19650725,79,96,73,78,,,19660725,68,89,55,64,,,19670725,73,89,66,73
19650726,73,90,56,75,,,19660726,68,99,56,67,,,19670726,71,87,62,71
19650727,68,84,61,73,,,19660727,72,93,62,70,,,19670727,68,88,65,72
19650728,64,89,56,65,,,19660728,72,82,68,70,,,19670728,69,84,65,74
19650729,62,84,55,64,,,19660729,73,88,59,72,,,19670729,66,80,63,70
19650730,63,82,59,66,,,19660730,64,75,52,57,,,19670730,70,82,65,70
19650731,63,84,52,68,,,19660731,59,84,49,58,,,19670731,64,84,63,74
19650801,66,77,62,72,,,19660801,59,91,52,62,,,19670801,66,89,63,68
19650802,66,84,59,72,,,19660802,68,90,56,64,,,19670802,66,82,63,72
19650803,60,82,53,62,,,19660803,66,84,42,62,,,19670803,72,91,68,74
19650804,61,86,57,70,,,19660804,55,84,47,59,,,19670804,68,84,66,76
19650805,66,81,65,69,,,19660805,62,73,54,60,,,19670805,68,79,67,73
19650806,66,89,66,78,,,19660806,61,90,53,60,,,19670806,66,82,63,69
19650807,71,91,68,74,,,19660807,62,84,55,63,,,19670807,64,82,62,71
19650808,73,90,70,74,,,19660808,66,87,61,66,,,19670808,68,82,63,71
19650809,73,87,68,73,,,19660809,71,90,63,71,,,19670809,66,87,66,75
19650810,69,89,61,70,,,19660810,70,89,67,72,,,19670810,68,82,59,73
19650811,64,80,59,63,,,19660811,70,93,60,72,,,19670811,62,77,50,60
19650812,60,87,56,65,,,19660812,69,84,56,67,,,19670812,64,75,54,58
19650813,64,90,58,67,,,19660813,63,79,52,57,,,19670813,64,73,58,62
19650814,69,87,65,71,,,19660814,68,73,58,65,,,19670814,57,81,55,64
19650815,68,90,65,71,,,19660815,72,84,65,73,,,19670815,57,82,56,65
19650816,72,93,66,72,,,19660816,66,91,64,74,,,19670816,61,82,58,65
19650817,71,91,67,73,,,19660817,66,87,60,67,,,19670817,61,84,59,67
19650818,71,91,67,76,,,19660818,63,90,55,66,,,19670818,66,88,64,71
19650819,70,91,67,74,,,19660819,69,91,62,69,,,19670819,69,84,68,73
19650820,69,82,53,69,,,19660820,73,86,58,64,,,19670820,66,80,65,73
19650821,57,82,53,64,,,19660821,66,86,60,69,,,19670821,64,75,62,66
19650822,66,75,64,69,,,19660822,73,93,66,75,,,19670822,68,82,63,71
19650823,68,81,64,68,,,19660823,72,89,54,74,,,19670823,63,71,61,68
19650824,64,77,53,63,,,19660824,57,81,49,54,,,19670824,63,68,60,67
19650825,64,80,59,67,,,19660825,60,80,49,55,,,19670825,64,80,65,74
19650826,70,89,66,75,,,19660826,59,86,53,57,,,19670826,68,82,67,75
19650827,68,91,64,72,,,19660827,61,89,56,60,,,19670827,70,82,69,76
19650828,64,90,39,71,,,19660828,64,91,57,63,,,19670828,64,75,56,69
19650829,50,73,36,49,,,19660829,63,91,59,72,,,19670829,62,81,57,63
19650830,51,73,42,53,,,19660830,68,91,61,69,,,19670830,61,82,59,70
19650831,57,75,51,60,,,19660831,66,91,61,71,,,19670831,62,80,53,70
19650901,63,86,56,67,,,19660901,66,89,64,67,,,19670901,55,72,43,52
19650902,57,78,50,61,,,19660902,68,91,54,66,,,19670902,54,71,43,53
19650903,57,78,53,60,,,19660903,66,95,58,70,,,19670903,46,75,43,53
19650904,54,77,51,63,,,19660904,69,86,66,72,,,19670904,55,80,51,62
19650905,59,75,56,62,,,19660905,66,90,49,72,,,19670905,57,81,56,64
19650906,60,78,54,62,,,19660906,62,84,47,54,,,19670906,59,82,55,62
19650907,57,82,52,63,,,19660907,57,80,46,52,,,19670907,62,82,59,63
19650908,61,89,56,64,,,19660908,63,81,47,55,,,19670908,60,82,59,68
19650909,70,87,64,69,,,19660909,57,82,47,51,,,19670909,61,79,58,68
19650910,66,93,60,69,,,19660910,57,84,50,56,,,19670910,55,66,45,64
19650911,68,86,55,70,,,19660911,57,84,50,57,,,19670911,46,66,42,47
19650912,63,70,55,65,,,19660912,64,75,57,69,,,19670912,44,69,41,51
19650913,62,69,59,66,,,19660913,63,75,56,65,,,19670913,50,73,36,56
19650914,64,77,62,65,,,19660914,66,70,65,69,,,19670914,48,77,47,57
19650915,63,84,62,72,,,19660915,55,73,44,67,,,19670915,57,82,52,57
19650916,69,81,58,71,,,19660916,46,70,41,49,,,19670916,68,72,56,67
19650917,66,77,60,68,,,19660917,46,73,46,53,,,19670917,63,78,60,67
19650918,68,90,66,74,,,19660918,46,75,46,58,,,19670918,57,86,57,70
19650919,71,91,69,74,,,19660919,59,73,53,64,,,19670919,63,84,55,68
19650920,71,86,69,75,,,19660920,57,63,53,60,,,19670920,61,84,59,67
19650921,70,91,68,74,,,19660921,61,70,59,66,,,19670921,66,82,62,72
19650922,69,88,68,73,,,19660922,60,73,53,62,,,19670922,54,73,46,65
19650923,66,87,65,71,,,19660923,55,72,41,50,,,19670923,46,64,36,48
19650924,62,82,59,71,,,19660924,46,66,36,47,,,19670924,44,71,40,50
19650925,51,69,43,59,,,19660925,52,63,42,53,,,19670925,39,66,34,45
19650926,44,71,40,52,,,19660926,52,62,35,53,,,19670926,43,75,40,55
19650927,48,64,36,50,,,19660927,53,55,48,53,,,19670927,53,80,51,63
19650928,45,66,39,51,,,19660928,54,57,53,56,,,19670928,64,73,63,70
19650929,51,73,49,56,,,19660929,55,64,53,60,,,19670929,57,80,49,71
19650930,53,73,51,61,,,19660930,55,75,45,60,,,19670930,44,64,37,49
19651001,64,72,59,70,,,19661001,44,59,41,47,,,19671001,48,66,41,50
19651002,48,70,44,52,,,19661002,41,64,38,46,,,19671002,42,75,38,55
19651003,46,73,34,51,,,19661003,39,66,36,52,,,19671003,48,82,47,62
19651004,41,59,25,34,,,19661004,45,79,42,59,,,19671004,57,87,54,66
19651005,35,55,22,28,,,19661005,54,66,34,58,,,19671005,59,87,56,64
19651006,34,62,27,43,,,19661006,41,60,31,42,,,19671006,53,73,45,63
19651007,46,64,40,63,,,19661007,39,66,33,42,,,19671007,50,60,42,52
19651008,51,72,44,55,,,19661008,42,73,39,53,,,19671008,55,64,51,59
19651009,45,69,41,54,,,19661009,50,78,47,58,,,19671009,61,73,59,64
19651010,46,63,42,50,,,19661010,48,77,34,65,,,19671010,50,64,49,63
19651011,43,66,38,48,,,19661011,41,69,31,40,,,19671011,45,61,42,54
19651012,48,68,38,53,,,19661012,48,68,32,39,,,19671012,43,57,37,44
19651013,39,66,31,43,,,19661013,44,69,39,49,,,19671013,37,62,34,48
19651014,42,66,38,58,,,19661014,50,73,49,62,,,19671014,39,63,37,53
19651015,52,78,52,64,,,19661015,55,66,51,59,,,19671015,46,66,45,58
19651016,53,73,44,63,,,19661016,48,68,37,63,,,19671016,55,75,55,62
19651017,45,59,37,43,,,19661017,37,54,33,43,,,19671017,54,71,52,65
19651018,36,60,32,45,,,19661018,34,52,29,44,,,19671018,48,69,44,66
19651019,39,69,36,50,,,19661019,46,52,44,49,,,19671019,43,57,33,44
19651020,45,72,43,53,,,19661020,42,57,32,48,,,19671020,33,61,29,40
19651021,51,71,49,62,,,19661021,32,61,27,39,,,19671021,39,66,24,46
19651022,61,64,60,62,,,19661022,37,66,32,48,,,19671022,36,62,28,38
19651023,51,64,43,59,,,19661023,46,68,43,58,,,19671023,35,64,32,49
19651024,43,55,30,45,,,19661024,51,63,36,52,,,19671024,36,62,34,56
19651025,35,53,26,32,,,19661025,51,55,40,43,,,19671025,43,69,42,61
19651026,30,64,27,37,,,19661026,44,64,32,42,,,19671026,39,57,30,42
19651027,39,62,31,38,,,19661027,37,62,32,39,,,19671027,39,64,33,49
19651028,39,53,17,36,,,19661028,34,69,30,44,,,19671028,37,55,26,45
19651029,28,46,12,21,,,19661029,43,71,29,44,,,19671029,32,57,25,36
19651030,27,62,16,24,,,19661030,30,48,19,26,,,19671030,30,57,26,38
19651031,36,71,24,38,,,19661031,25,55,22,41,,,19671031,35,57,30,42
19651101,39,55,22,32,,,19661101,39,69,37,55,,,19671101,42,64,36,50
19651102,34,50,21,30,,,19661102,57,66,55,63,,,19671102,53,57,50,56
19651103,36,70,28,36,,,19661103,30,57,19,54,,,19671103,43,64,42,53
19651104,45,72,23,42,,,19661104,28,46,14,19,,,19671104,36,57,26,53
19651105,30,53,21,34,,,19661105,28,57,20,35,,,19671105,28,45,14,29
19651106,34,64,28,45,,,19661106,33,52,25,35,,,19671106,24,42,15,24
19651107,39,72,37,49,,,19661107,28,53,23,37,,,19671107,28,42,14,19
19651108,48,60,48,52,,,19661108,37,66,33,48,,,19671108,26,46,16,26
19651109,37,54,27,50,,,19661109,52,72,46,54,,,19671109,26,59,17,28
19651110,30,46,23,37,,,19661110,62,71,55,63,,,19671110,34,60,26,37
19651111,43,46,40,44,,,19661111,52,64,44,55,,,19671111,35,64,30,46
19651112,46,53,41,45,,,19661112,43,54,32,48,,,19671112,52,73,35,44
19651113,45,60,44,52,,,19661113,33,50,23,33,,,19671113,43,54,25,36
19651114,37,54,18,45,,,19661114,30,53,19,28,,,19671114,35,46,23,29
19651115,26,48,17,32,,,19661115,34,50,24,28,,,19671115,26,42,1,28
19651116,45,61,32,52,,,19661116,28,54,22,33,,,19671116,21,37,2,12
19651117,36,59,16,51,,,19661117,37,66,30,39,,,19671117,28,46,14,35
19651118,36,48,15,20,,,19661118,44,60,35,49,,,19671118,39,60,23,42
19651119,33,51,19,26,,,19661119,32,57,18,47,,,19671119,37,51,20,30
19651120,28,54,22,33,,,19661120,23,42,12,19,,,19671120,34,44,16,22
19651121,35,50,29,41,,,19661121,23,45,17,29,,,19671121,32,39,19,33
19651122,44,48,40,44,,,19661122,25,48,19,31,,,19671122,39,48,34,45
19651123,39,60,25,39,,,19661123,24,55,19,38,,,19671123,34,48,21,44
19651124,33,51,26,31,,,19661124,28,66,22,42,,,19671124,28,44,20,35
19651125,27,53,22,37,,,19661125,48,64,38,47,,,19671125,37,55,28,42
19651126,35,57,30,45,,,19661126,39,60,30,48,,,19671126,28,64,24,42
19651127,39,64,17,54,,,19661127,35,57,27,43,,,19671127,36,55,9,37
19651128,35,55,15,22,,,19661128,37,57,29,53,,,19671128,25,39,5,16
19651129,28,39,10,16,,,19661129,34,45,20,28,,,19671129,21,41,7,19
19651130,21,41,11,19,,,19661130,30,42,22,33,,,19671130,28,34,19,28
19651201,21,39,14,18,,,19661201,33,46,23,28,,,19671201,15,32,9,23
19651202,21,57,14,21,,,19661202,26,42,1,28,,,19671202,9,34,4,30
19651203,39,48,19,33,,,19661203,18,28,-2,6,,,19671203,33,45,26,41
19651204,32,48,24,34,,,19661204,12,30,-5,9,,,19671204,28,46,19,27
19651205,27,44,17,23,,,19661205,17,39,9,32,,,19671205,32,51,19,26
19651206,28,46,19,27,,,19661206,36,46,30,33,,,19671206,33,42,25,34
19651207,26,41,11,23,,,19661207,37,53,31,41,,,19671207,36,46,33,44
19651208,23,46,14,24,,,19661208,46,73,41,55,,,19671208,36,57,31,49
19651209,28,45,21,29,,,19661209,53,72,48,58,,,19671209,30,51,27,41
19651210,30,52,27,32,,,19661210,48,70,45,62,,,19671210,36,44,31,37
19651211,39,52,31,41,,,19661211,37,55,27,53,,,19671211,39,44,36,42
19651212,43,46,41,45,,,19661212,30,41,19,27,,,19671212,43,55,37,50
